Instance,Best,Worst,Average,Std
0.5_0.2_200_10_Tournament_zad1.txt_0.1,3155.0,4085.0,3572.5,282.65040244089516
0.5_0.2_200_10_Tournament_zad2.txt_0.1,2800.0,4280.0,3368.0,418.5582396751974
0.5_0.2_200_10_Tournament_zad3.txt_0.1,12260.0,15130.0,14334.5,795.6112430075382
0.5_0.8_200_10_Tournament_zad1.txt_0.1,2635.0,3535.0,3046.5,244.80655628475313
0.5_0.8_200_10_Tournament_zad2.txt_0.1,2615.0,3335.0,3023.0,214.54836284623568
0.5_0.8_200_10_Tournament_zad3.txt_0.1,10940.0,14700.0,13669.5,1095.7450661536195
